python -m cProfile solver.py jcp aoe irh fbt -n 2 -p
         3975333 function calls (3975075 primitive calls) in 0.724 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     15/1    0.000    0.000    0.724    0.724 {built-in method builtins.exec}
        1    0.000    0.000    0.724    0.724 solver.py:1(<module>)
        1    0.000    0.000    0.713    0.713 solver.py:267(__init__)
        1    0.000    0.000    0.702    0.702 solver.py:203(solve)
        1    0.445    0.445    0.590    0.590 solver.py:125(compile_solution)
        1    0.096    0.096    0.112    0.112 solver.py:42(prune_words)
  2592377    0.092    0.000    0.092    0.000 {method 'append' of 'list' objects}
1090730/1090684    0.036    0.000    0.036    0.000 {built-in method builtins.len}
     22/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:1165(_find_and_load)
     22/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     21/5    0.000    0.000    0.019    0.004 <frozen importlib._bootstrap>:666(_load_unlocked)
     13/5    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap_external>:934(exec_module)
    48/11    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   213944    0.012    0.000    0.012    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.010    0.010 argparse.py:1737(__init__)
        5    0.000    0.000    0.010    0.002 argparse.py:1419(add_argument)
        5    0.000    0.000    0.009    0.002 argparse.py:2587(_get_formatter)
        5    0.000    0.000    0.009    0.002 argparse.py:164(__init__)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
     3214    0.002    0.000    0.008    0.000 solver.py:93(__init__)
    21/18    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     4820    0.004    0.000    0.007    0.000 {built-in method _heapq.heappop}
      4/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
      4/3    0.005    0.001    0.007    0.002 {built-in method _imp.create_dynamic}
       22    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
       13    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.005    0.005 solver.py:128(<dictcomp>)
       18    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       12    0.002    0.000    0.005    0.000 solver.py:128(<listcomp>)
       18    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       67    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     3214    0.003    0.000    0.005    0.000 solver.py:99(get_score)
        1    0.000    0.000    0.004    0.004 solver.py:132(<listcomp>)
    43118    0.004    0.000    0.004    0.000 solver.py:105(__lt__)
        1    0.000    0.000    0.004    0.004 __init__.py:1(<module>)
       13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      101    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      101    0.003    0.000    0.003    0.000 {built-in method nt.stat}
       13    0.002    0.000    0.002    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
       22    0.000    0.000    0.002    0.000 __init__.py:272(_compile)
       12    0.000    0.000    0.002    0.000 _compiler.py:738(compile)
       19    0.000    0.000    0.002    0.000 __init__.py:225(compile)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
      323    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      288    0.000    0.000    0.002    0.000 cp1252.py:22(decode)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      288    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
       13    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
     1607    0.001    0.000    0.001    0.000 solver.py:150(<dictcomp>)
       12    0.000    0.000    0.001    0.000 _parser.py:970(parse)
     4820    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
    22/12    0.000    0.000    0.001    0.000 _parser.py:447(_parse_sub)
    25/13    0.000    0.000    0.001    0.000 _parser.py:507(_parse)
       13    0.000    0.000    0.001    0.000 {built-in method _heapq.heapify}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
     3214    0.001    0.000    0.001    0.000 solver.py:100(<listcomp>)
       12    0.000    0.000    0.001    0.000 _compiler.py:571(_code)
     3214    0.001    0.000    0.001    0.000 solver.py:96(<listcomp>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:975(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
    50/48    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    43/12    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 argparse.py:1868(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1875(parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1913(_parse_known_args)
       13    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        3    0.000    0.000    0.000    0.000 argparse.py:1337(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:163(match)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
       12    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        5    0.000    0.000    0.000    0.000 shutil.py:1394(get_terminal_size)
        2    0.000    0.000    0.000    0.000 argparse.py:2062(consume_positionals)
      323    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       10    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:348(namedtuple)
       19    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        2    0.000    0.000    0.000    0.000 argparse.py:2213(_match_arguments_partial)
       14    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        5    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
    52/21    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 argparse.py:1981(consume_optional)
       12    0.000    0.000    0.000    0.000 typing.py:349(inner)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
       12    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFFCADBA4B0}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
     1077    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 typing.py:1556(__getitem__)
      150    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      730    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:2191(_match_argument)
        3    0.000    0.000    0.000    0.000 gettext.py:604(gettext)
      212    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
       28    0.000    0.000    0.000    0.000 enum.py:685(__call__)
        3    0.000    0.000    0.000    0.000 gettext.py:566(dgettext)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       10    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
        3    0.000    0.000    0.000    0.000 gettext.py:507(translation)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        4    0.000    0.000    0.000    0.000 enum.py:1505(__or__)
      996    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       22    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        3    0.000    0.000    0.000    0.000 gettext.py:467(find)
      100    0.000    0.000    0.000    0.000 _parser.py:252(get)
       28    0.000    0.000    0.000    0.000 enum.py:1091(__new__)
        4    0.000    0.000    0.000    0.000 typing.py:1565(copy_with)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      142    0.000    0.000    0.000    0.000 _parser.py:231(__next)
        4    0.000    0.000    0.000    0.000 typing.py:1346(__init__)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       24    0.000    0.000    0.000    0.000 enum.py:1515(__and__)
      529    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        9    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
      360    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       22    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       38    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        2    0.000    0.000    0.000    0.000 enum.py:1374(_missing_)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        5    0.000    0.000    0.000    0.000 argparse.py:1848(_add_action)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        5    0.000    0.000    0.000    0.000 argparse.py:1669(_add_action)
        3    0.000    0.000    0.000    0.000 argparse.py:1960(take_action)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       58    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       44    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 argparse.py:1470(add_argument_group)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
       16    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
       28    0.000    0.000    0.000    0.000 typing.py:1290(__setattr__)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 argparse.py:1647(__init__)
      111    0.000    0.000    0.000    0.000 _parser.py:247(match)
        5    0.000    0.000    0.000    0.000 argparse.py:1480(_add_action)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      133    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
