python -m cProfile solver.py JCP AOE IRH FBT -n 3
10768 solutions found!
         101579058 function calls (67828937 primitive calls) in 35.063 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/1    0.000    0.000   35.063   35.063 {built-in method builtins.exec}
        1    0.000    0.000   35.063   35.063 solver.py:1(<module>)
        1    0.000    0.000   35.060   35.060 solver.py:216(__init__)
        1    0.000    0.000   35.050   35.050 solver.py:161(solve)
        1    0.005    0.005   34.949   34.949 solver.py:146(compile_solution)
33751621/1607   22.312    0.000   34.924    0.022 solver.py:126(recursive_compile)
 67510796   12.612    0.000   12.612    0.000 {method 'union' of 'set' objects}
        1    0.087    0.087    0.101    0.101 solver.py:42(prune_words)
     13/3    0.000    0.000    0.012    0.004 <frozen importlib._bootstrap>:1165(_find_and_load)
     13/3    0.000    0.000    0.012    0.004 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     1607    0.007    0.000    0.012    0.000 {built-in method _heapq.heappop}
   213944    0.011    0.000    0.011    0.000 {method 'strip' of 'str' objects}
     12/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap>:666(_load_unlocked)
      7/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.009    0.009 argparse.py:1737(__init__)
        5    0.000    0.000    0.009    0.002 argparse.py:1419(add_argument)
        5    0.000    0.000    0.009    0.002 argparse.py:2587(_get_formatter)
        5    0.000    0.000    0.009    0.002 argparse.py:164(__init__)
     27/6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
     3214    0.002    0.000    0.006    0.000 solver.py:93(__init__)
    17927    0.005    0.000    0.005    0.000 solver.py:106(__lt__)
        1    0.000    0.000    0.005    0.005 solver.py:149(<dictcomp>)
       12    0.001    0.000    0.005    0.000 solver.py:149(<listcomp>)
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        7    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     3214    0.003    0.000    0.003    0.000 solver.py:100(get_score)
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
        2    0.003    0.002    0.003    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.003    0.003 solver.py:151(<listcomp>)
       13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       43    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
58895/58879    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       59    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      288    0.000    0.000    0.001    0.000 cp1252.py:22(decode)
        7    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        7    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      288    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
      209    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     3214    0.001    0.000    0.001    0.000 solver.py:101(<listcomp>)
     3214    0.001    0.000    0.001    0.000 solver.py:96(<listcomp>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
       15    0.000    0.000    0.001    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:975(exec_module)
        5    0.000    0.000    0.001    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
    42/40    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       13    0.000    0.000    0.000    0.000 __init__.py:225(compile)
        1    0.000    0.000    0.000    0.000 {built-in method _heapq.heapify}
     4655    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1337(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1868(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1875(parse_known_args)
        5    0.000    0.000    0.000    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.000    0.000 argparse.py:1913(_parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      7/5    0.000    0.000    0.000    0.000 _parser.py:447(_parse_sub)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        5    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      8/6    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
        2    0.000    0.000    0.000    0.000 __init__.py:163(match)
        2    0.000    0.000    0.000    0.000 argparse.py:2062(consume_positionals)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
       16    0.000    0.000    0.000    0.000 typing.py:349(inner)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        6    0.000    0.000    0.000    0.000 typing.py:1556(__getitem__)
        2    0.000    0.000    0.000    0.000 argparse.py:2213(_match_arguments_partial)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:348(namedtuple)
     16/5    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        4    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        8    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 typing.py:1565(copy_with)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        5    0.000    0.000    0.000    0.000 shutil.py:1394(get_terminal_size)
        3    0.000    0.000    0.000    0.000 gettext.py:604(gettext)
      701    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:566(dgettext)
        6    0.000    0.000    0.000    0.000 typing.py:1346(__init__)
      488    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1981(consume_optional)
        5    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        3    0.000    0.000    0.000    0.000 gettext.py:507(translation)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        4    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFCB33EA4B0}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       94    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 gettext.py:467(find)
        1    0.000    0.000    0.000    0.000 argparse.py:2191(_match_argument)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       13    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      642    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       22    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       42    0.000    0.000    0.000    0.000 typing.py:1290(__setattr__)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      229    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:1848(_add_action)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
     18/7    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       87    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       10    0.000    0.000    0.000    0.000 enum.py:1515(__and__)
        2    0.000    0.000    0.000    0.000 argparse.py:1960(take_action)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 typing.py:1251(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        2    0.000    0.000    0.000    0.000 argparse.py:1470(add_argument_group)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        5    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        5    0.000    0.000    0.000    0.000 argparse.py:1669(_add_action)
